RptDt;TckrSymb;MktNm;SctyCtgyNm;TradgStartDt;TradgEndDt;ISIN;TradgCcy;SpcfctnCd;CrpnNm
21/09/21;A1TM34;EQUITY-CASH;BDR;20/08/21;31/12/99;BRA1TMBDR008;BRL;DRN;ATMOS ENERGY CORP
21/09/21;A1TT34;EQUITY-CASH;BDR;30/08/21;31/12/99;BRA1TTBDR003;BRL;DRN;ALLSTATE CORP
21/09/21;A1UA34;EQUITY-CASH;BDR;26/08/21;31/12/99;BRA1UABDR001;BRL;DRN;ANGLOGOLD ASHANTI LTD
21/09/21;A1UT34;EQUITY-CASH;BDR;27/01/20;31/12/99;BRA1UTBDR001;BRL;DRN;AUTODESK INC
21/09/21;A1VB34;EQUITY-CASH;BDR;29/06/21;31/12/99;BRA1VBBDR007;BRL;DRN;AVALONBAY COMMUNITIES INC
21/09/21;A1VY34;EQUITY-CASH;BDR;31/08/21;31/12/99;BRA1VYBDR009;BRL;DRN;AVERY DENNISON CORP
21/09/21;A1WK34;EQUITY-CASH;BDR;09/08/21;31/12/99;BRA1WKBDR006;BRL;DRN;AMERICAN WATER WORKS CO INC
21/09/21;A1YX34;EQUITY-CASH;BDR;13/10/20;31/12/99;BRA1YXBDR005;BRL;DRN;ALTERYX INC
21/09/21;A1ZN34;EQUITY-CASH;BDR;12/08/21;31/12/99;BRA1ZNBDR003;BRL;DRN;ASTRAZENECA PLC
21/09/21;A2MC34;EQUITY-CASH;BDR;16/08/21;31/12/99;BRA2MCBDR002;BRL;DRN;AMC Entertainment Holdings Inc
21/09/21;A2VL34;EQUITY-CASH;BDR;16/08/21;31/12/99;BRA2VLBDR004;BRL;DRN;AVALARA INC
21/09/21;AALL34;EQUITY-CASH;BDR;04/02/20;31/12/99;BRAALLBDR003;BRL;DRN;AMERICAN AIRLINES GROUP INC.
21/09/21;AALR3;EQUITY-CASH;SHARES;28/04/20;31/12/99;BRAALRACNOR6;BRL;ON      NM;CENTRO DE IMAGEM DIAGNOSTICOS S.A.
21/09/21;AALR3F;EQUITY-CASH;SHARES;28/04/20;31/12/99;BRAALRACNOR6;BRL;ON      NM;CENTRO DE IMAGEM DIAGNOSTICOS S.A.
21/09/21;AALR3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;28/10/16;31/12/99;BRAALRTNO008;BRL;ON      NM;CENTRO DE IMAGEM DIAGNOSTICOS S.A.
21/09/21;AAPL34;EQUITY-CASH;BDR;06/08/21;31/12/99;BRAAPLBDR004;BRL;DRN;APPLE INC.
21/09/21;AATH11;EQUITY-CASH;FUNDS;31/12/99;31/12/99;BRAATHCTF003;BRL;CI;ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA
21/09/21;AATH13;EQUITY-CASH;RECEIPTS;31/12/99;31/12/99;BRAATHR01M10;BRL;REC;ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA
